;Nº DO CHAMADO;DATA DE CRIAÇÃO;RESPONSÁVEL;DATA DA VISTORIA;PRIORIDADE;STATUS;DESCRICÃO DO PROBLEMA;Colunas2;Colunas1;Coluna2;LOGRADOURO;BAIRRO;CONTATO;CENTRO DE CUSTO;SOLICITANTE;ORIGEM DA DEMANDA;DATA DE INICIO;DURAÇÃO PREVISTA;TÉRMINO PREVISTO;TÉRMINO REAL;% CONCLUÍDA;DIAS DE ATRASO;;Base de dados AB;;Prioridade;STATUS;QTD.;%;;;;;;;
55;55/2020 - SME;18/02/2020;CAMILA;;MÉDIA;RESOLVIDO;O VESTIÁRIO FEMININO ESTA COM VAZAMENTO NO CANO DO VASO PODENDO OCASIONAR ACIDENTES;HIDRAULICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;DENIS ROBERTO;E-MAIL;;;;;;;;1;55;;;;;;;;;;;
56;56/2020 - SME;18/02/2020;GILLIARD;18/02/2020;BAIXA;RESOLVIDO;"SUBSTITUIÇÃO DE UMA LÂMPADA QUEIMADA NA SALA DA GERÊNCIA GCCA, COM A REFORMULAÇÃO NO LAYOUT DA SALA, FICOU UM POUCO ESCURO DIFICULTANDO A VISÃO DO AMBIENTE.
";ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;DENIS ROBERTO;E-MAIL;;;;;;;;1;56;;;;;;;;;;;
57;57/2020 - SME;18/02/2020;GILLIARD;19/02/2020;BAIXA;RESOLVIDO;"SOLICITO A INSTALAÇÃO DE 04 VENTILADORES DE PAREDE NA SALA DA GERÊNCIA DE PLANEJAMENTO DA DIRTEC 1.
NO CASO, OS VENTILADORES JÁ FORAM COMPRADOS E ESTÃO À DISPOSIÇÃO PARA SEREM INSTALADOS.";ELÉTRICA;SEDE PROGUARU;Aguardando oportunidade de execução;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;MILA MORIMOTO;E-MAIL;;;;;;;;1;57;;;;;;;;;;;
58;58/2020 - SME;18/02/2020;GENIVAL;18/02/2020;BAIXA;RESOLVIDO;O VIDRO DE UMA DAS JANELAS NA SALA DO JURÍDICO SOLTOU, NECESSITANDO DE CONSERTO URGENTE DADO O RISCO DE ACIDENTES E DAS CHUVAS RECORRENTES. CONSULTAMOS A POSSIBILIDADE DE VISTORIA NAS DEMAIS JANELAS.;OUTROS;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;SESMT;E-MAIL;19/02/2020;;;19/02/2020;100%;;;1;58;;;;;;;;;;;
59;59/2020 - SME;19/02/2020;GILLIARD;19/02/2020;BAIXA;RESOLVIDO;TROCA DE LAMPADA E REATOR NO ARQUIVO DO RH;ELÉTRICA;SEDE PROGUARU;AOS CUIDADOS DO SERGIO;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;PEDRO;PRESENCIAL;;;;;;;;1;59;;;;;;;;;;;
60;60/2020 - SME;20/02/2020;IZAIAS;;BAIXA;AGUARDANDO MATERIAIS;INSTALAÇÃO DE COMPRESSOR DE AR;ELÉTRICA;SEÇÃO DE TRANSP. PESADO;perguntar se foi resolvido para o julho;RUA PEDRO DE TOLEDO, 360;TABOÃO;2402-8710;0001-16-01;TIDI;;;;;;;;;1;60;;;;;;;;;;;
61;61/2020 - SME;21/02/2020;CLAUDINEI;;BAIXA;AGUARDANDO VISTORIA;REVISÃO NAS PORTAS E JANELAS METÁLICAS DO PARQUE JOSÉ DE ALENCAR;SERRALHERIA;SUP. PARQUE, PRAÇAS E ÁREAS VERDES;;Rua Catulo da Paixão Cearense, s/n;Jardim América;2475-9027;0012-02-02-0001;THAMIRIS;SIPEX;;;;;;;;1;61;;;;;;;;;;;
62;62/2020 - SME;21/02/2020;RUBENS;;BAIXA;AGUARDANDO VISTORIA;REVISÃO NO TELHADO DO PARQUE JOSÉ DE ALENCAR;CARPINTARIA;SUP. PARQUE, PRAÇAS E ÁREAS VERDES;;Rua Catulo da Paixão Cearense, s/n;Jardim América;2475-9027;0012-02-02-0001;THAMIRIS;SIPEX;;;;;;;;1;62;;;;;;;;;;;
63;63/2020 - SME;21/02/2020;;21/02/2020;ALTA;VISTORIADO;CAMINHÃO COLIDIU COM A COLUNA DE APOIO DO PORTÃO 3 E ARRANCOU O BATENTE DE ENCOSTO DO PORTÃO.;SERRALHERIA;SEDE PROGUARU;ESTÁ SENDO TRANCADO NA CORRENTE PROVISIORAMENTE ATÉ PROGRAMAR COM A SERRALHERIA;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;DENIS ROBERTO;E-MAIL;;;;;;;;1;63;;;;;;;;;;;
64;64/2020 - SME;21/02/2020;;;BAIXA;RESOLVIDO;PINTURA DA SALA DE INFORMATICA;CIVIL;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;MARCOS GARCIA;E-MAIL;;;;;;;;1;64;;;;;;;;;;;
65;65/2020 - SME;28/02/2020;;;MÉDIA;AGUARDANDO VISTORIA;INFILTRAÇÃO NA SAÇA DA TOPOGRAFIA EM VÁRIOS PONTOS, MOLHANDO EQUIPAMENTOS;CIVIL;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;JOSÉ LEVINDO;E-MAIL;;;;;;;;1;65;;;;;;;;;;;
66;66/2020 - SME;28/02/2020;;;MÉDIA;RESOLVIDO;REPARO NO TRINCO DO BANHEIRO DO PISO TÉRREO EM FRENTE AO RH;OUTROS;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;DENIS ROBERTO;E-MAIL;;;;;;;;1;66;;;;;;;;;;;
67;67/2020 - SME;28/02/2020;;;ALTA;RESOLVIDO;DESENTUPIMENTO DOS BANHEIROS DO VESTIÁRIO 02 E DA PORTARIA 03 QUE ESTÃO TRANSBORDANDO;HIDRAULICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;DENIS ROBERTO;E-MAIL;;;;;;;;1;67;;;;;;;;;;;
68;68/2020 - SME;03/03/2020;GILLIARD;;ALTA;EM ATENDIMENTO;READEQUAÇÃO DAS INSTALAÇÕES ELÉTRICAS PARA CONTRATO DA SEGURADORA;ELÉTRICA;C. O. CABUÇU;materiais solicitados em 03/03/2020 para Isabelle;RUA BENJAMIN HARRIS HUNNICUTT, 4.400;CABUÇU;2458 2454;0001-16-01;;;;;;;;;;1;68;;;;;;;;;;;
69;69/2020 - SME;03/03/2020;IZAIAS;;MÉDIA;RESOLVIDO;READEQUAÇÃO DAS INSTALAÇÕES ELÉTRICAS DA SALA DO FINANCEIRO;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;MARCOS TERRITO;PRESENCIAL;;;;;;;;1;69;;;;;;;;;;;
70;70/2020 - SME;03/03/2020;IZAIAS;;MÉDIA;RESOLVIDO;PROBLEMA NA ILUMINAÇÃO DA SALA DA EQUIPE DE JARDINAGEM;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;RAI;PRESENCIAL;;;;;;;;1;70;;;;;;;;;;;
71;71/2020 - SME;03/03/2020;IZAIAS;;BAIXA;RESOLVIDO;PROBLEMA NA ILUMINAÇÃO DO ARQUIVO DO RH NA RAMPA;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;PEDRO RH;;;;;;;;;1;71;;;;;;;;;;;
72;72/2020 - SME;03/03/2020;IZAIAS;;MÉDIA;RESOLVIDO;READEQUAÇÃO DE SALA NA GERENCIA DE INOVAÇÃO;ELÉTRICA;SEDE PROGUARU;VERIFICAR LISTA DE MATERIAIS izaias;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;;;;;;;;;;1;72;;;;;;;;;;;
73;73/2020 - SME;03/03/2020;GILLIARD;;MÉDIA;RESOLVIDO;READEQUAÇÃO DA ILUMINAÇÃO E TOMADAS NOVA SALA DO JOÃO FELIX;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;;;;;;;;;;1;73;;;;;;;;;;;
74;74/2020 - SME;03/03/2020;GILLIARD;;BAIXA;RESOLVIDO;PROBLEMA NA ILUMINAÇÃO DA SALA DO JURÍDICO;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;IDALINA;E-MAIL;;;;;;;;1;74;;;;;;;;;;;
75;75/2020 - SME;06/03/2020;GILLIARD;;MÉDIA;RESOLVIDO;MANUTENÇÃO DAS LÂMPADAS E REATORES DOS BANHEIROS EM FRENTE À QUADRA DA SEDE;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;JEFFERSON BRITO;E-MAIL;;;;;;;;1;75;;;;;;;;;;;
76;76/2020 - SME;13/03/2020;GILLIARD;;BAIXA;RESOLVIDO;PROBLEMA NA ILUMINAÇÃO DO BANHEIRO DA ADMINISTRAÇÃO;ELÉTRICA;C. O. SÃO JOÃO;;RUA CARNAUBAIS, 200;SÃO JOÃO;2467 2932;0001-16-01;VANDA;E-MAIL;;;;;;;;1;76;;;;;;;;;;;
77;77/2020 - SME;13/03/2020;GILLIARD;;BAIXA;RESOLVIDO;PROBLEMA NA ILUMINAÇÃO NA GERENCIA JURÍDICA;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;IDALINA;E-MAIL;;;;;;;;1;77;;;;;;;;;;;
78;78/2020 - SME;13/03/2020;GILLIARD;;BAIXA;AGUARDANDO MATERIAIS;PROBLEMA NA CHAVE LIGA/DESLIGA DA MESA VIBRATÓRIA;ELÉTRICA;C. O. SÃO JOÃO;;RUA CARNAUBAIS, 200;SÃO JOÃO;2467 2932;0001-16-01;VANDERLEI;E-MAIL;;;;;;;;1;78;;;;;;;;;;;
79;79/2020 - SME;13/03/2020;GILLIARD;;ALTA;RESOLVIDO;PROBLEMA NA INTERRUPTOR NA SALA DO JOEL;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;JOEL;PRESENCIAL;;;;;;;;1;79;;;;;;;;;;;
80;80/2020 - SME;13/03/2020;GILLIARD;;BAIXA;RESOLVIDO;PROBLEMA NO REFLETOR VAPOR DE SÓDIO DA ENTRADA;ELÉTRICA;CENTRO DE APOIO REGIÃO CENTRAL;;RUA JACOB BITTENCOURT, 100;JD. SÃO ROBERTO;0;0001-16-17;GIL;PRESENCIAL;;;;;;;;1;80;;;;;;;;;;;
81;81/2020 - SME;14/03/2020;GILLIARD;;ALTA;RESOLVIDO;COLOCAÇÃO DE ESPELHO CONVEXO NA PORTARIA;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;;;;;;;;;;1;81;;;;;;;;;;;
82;82/2020 - SME;16/03/2020;GILLIARD;;BAIXA;RESOLVIDO;PROBLEMA NO DISJUNTOR DA POLICORTE;ELÉTRICA;FÁBRICA DE PRÉ-MOLDADOS;;RUA CARNAUBAIS, 200;SÃO JOÃO;2467 2932;0003-05;WANDERLEY;WHATSAPP;;;;;;;;1;82;;;;;;;;;;;
83;83/2020 - SME;17/03/2020;GILLIARD;;BAIXA;RESOLVIDO;PROBLEMA DE OSCILAÇÃO DE ENERGIA ELÉTRICA;ELÉTRICA;SEÇÃO DE TRANSP. PESADO;;RUA PEDRO DE TOLEDO, 360;TABOÃO;2402-8710;0001-16-01;;;;;;;;;;1;83;;;;;;;;;;;
84;84/2020 - SME;18/03/2020;GILLIARD;;BAIXA;RESOLVIDO;PROBLEMA NA ILUMINAÇÃO DO ALMOXARIFADO;ELÉTRICA;C. O. BONSUCESSO;;RUA ANTÔNIO TAVA, 200 ;BONSUCESSO; 2438 2667;0001-16-01;ANTHONY;;;;;;;;;1;84;;;;;;;;;;;
85;85/2020 - SME;17/03/2020;CAMILA;17/03/2020;MÉDIA;RESOLVIDO;VALVULA HIDRA DO BANHEIRO FEMININO NO 1º ANDAR VAZANDO CONSTANTEMENTE;HIDRAULICA;SEDE PROGUARU;FOI INTERDITADO O LOCAL ATÉ QUE SE PREOVIDENCIE O REPARO;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;CAMILA;PRESENCIAL;;;;;;;;1;85;;;;;;;;;;;
86;86/2020 - SME;11/03/2020;;;BAIXA;AGUARDANDO VISTORIA;FOI COLOCADO UM PORTÃO NOVO EM NOSSO PÁTIO DE ARMAZENAMENTO DE MATERIAIS, NECESSITAMOS QUE O MESMO SEJA PINTADO, COR: AZUL MARINHO COM LOGO DA PROGUARU E O NOME C.O SÃO JOÃO;CIVIL;C. O. SÃO JOÃO;;RUA CARNAUBAIS, 200;SÃO JOÃO;2467 2932;0001-16-01;;E-MAIL;;;;;;;;1;86;;;;;;;;;;;
87;87/2020 - SME;16/03/2020;;;ALTA;AGUARDANDO VISTORIA;ESTAMOS COM UM VAZAMENTO DE ÁGUA MUITO FORTE NO CANO QUE TRÁS ÁGUA PARA REGIONAL ACREDITAMOS QUE O CANO DEVE TER ESTOURADO;HIDRAULICA;C. O. SÃO JOÃO;;RUA CARNAUBAIS, 200;SÃO JOÃO;2467 2932;0001-16-01;VANDA;E-MAIL;;;;;;;;1;87;;;;;;;;;;;
88;88/2020 - SME;16/03/2020;;;MÉDIA;AGUARDANDO VISTORIA;SOLICITAMOS A MANUTENÇÃO DO MICTÓRIO LOCALIZADO NO VESTIÁRIO DA EQUIPE DE BOCA DE LOBO, POIS O MESMO ESTA VAZANDO E MOLHANDO O LOCAL;HIDRAULICA;C. O. PIMENTAS;;RUA ARACY, 188;JARDIM LEBLON;2486 2728;0001-16-01;UBIRAJARA;E-MAIL;;;;;;;;1;88;;;;;;;;;;;
89;89/2020 - SME;18/03/2020;;;MÉDIA;AGUARDANDO VISTORIA;SOLICITO DIVIDIR A PORTA DA SALA 119 (ENTREGA DE EPI) AO MEIO, SEMELHANTE A QUE FOI FEITA NA SALA DE COMPRAS.  TAL SOLICITAÇÃO SE FAZ NECESSÁRIA PARA EVITAR AGLOMERAÇÕES NO LOCAL E O MELHOR ATENDIMENTO E DISTRIBUIÇÃO DOS EPIS AOS FUNCIONÁRIOS ;CARPINTARIA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;CELIA CAMPANO;E-MAIL;;;;;;;;1;89;;;;;;;;;;;
90;90/2020 - SME;26/03/2020;GILLIARD;;BAIXA;RESOLVIDO;PROBLEMA NA ILUMINAÇÃO DO SETOR DE PROTOCOLO;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;JOSÉ CARDOSO;E-MAIL;;;;;;;;1;90;;;;;;;;;;;
91;91/2020 - SME;17/04/2020;GILLIARD;;MÉDIA;RESOLVIDO;PROBLEMA NA ILUMINAÇÃO DA GERENCIA DE COMPRAS E LICITAÇÕES;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;;;;;;;;;;1;91;;;;;;;;;;;
92;92/2020 - SME;17/04/2020;GILLIARD;;MÉDIA;RESOLVIDO;DESINSTALAÇÃO DE BETONEIRA;ELÉTRICA;FÁBRICA DE PRÉ-MOLDADOS;;RUA CARNAUBAIS, 200;SÃO JOÃO;2467 2932;0003-05;;;;;;;;;;1;92;;;;;;;;;;;
93;93/2020 - SME;17/04/2020;GILLIARD;;MÉDIA;RESOLVIDO;INSTALAÇÃO DE BETONEIRA;ELÉTRICA;C. O. CABUÇU;;RUA BENJAMIN HARRIS HUNNICUTT, 4.400;CABUÇU;2458 2454;0001-16-01;;;;;;;;;;1;93;;;;;;;;;;;
94;94/2020 - SME;17/04/2020;GILLIARD;;BAIXA;CANCELADA;INSTALAÇÃO DE SERRA CIRCULAR DE BANCADA;ELÉTRICA;C. O. CABUÇU;CANCELADA PELO SOLICITANTE;RUA BENJAMIN HARRIS HUNNICUTT, 4.400;CABUÇU;2458 2454;0001-16-01;;;;;;;;;;1;94;;;;;;;;;;;
95;95/2020 - SME;22/04/2020;GILLIARD;;ALTA;RESOLVIDO;PROBLEMA NO ALIMENTADOR DO QDLF DA COZINHA;ELÉTRICA;ALMOXARIFADO PIO XII;;AV. PAPA PIO XII, 975;MACEDO;2087-0286;0001-16-08;;;;;;;;;;1;95;;;;;;;;;;;
96;96/2020 - SME;22/04/2020;RICARDO;;MÉDIA;AGUARDANDO VISTORIA;MANUTENÇÃO NA ESCADA DE ALUMÍNIO DO TIPO GIRAFA (MANUTENÇÃO ELÉTRICA);SERRALHERIA;SERRALHERIA IPANEMA;;RUA CAMPO GRANDE, 188;JD. IPANEMA;0;0;;;;;;;;;;1;96;;;;;;;;;;;
97;97/2020 - SME;28/04/2020;GILLIARD;;MÉDIA;RESOLVIDO;PROBLEMA NA ILUMINAÇÃO DO REFEITÓRIO;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;IEDA;E-MAIL;;;;;;;;1;97;;;;;;;;;;;
98;98/2020 - SME;28/04/2020;GILLIARD;;MÉDIA;RESOLVIDO;PROBLEMA DE ILUMINAÇÃO NO PROTOCOLO;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;JOSÉ CARDOSO;E-MAIL;;;;;;;;1;98;;;;;;;;;;;
99;99/2020 - SME;28/04/2020;GILLIARD;;ALTA;EM ATENDIMENTO;PROBLEMA NA ILUMINAÇÃO EXTERNA;ELÉTRICA;SEDE PROGUARU;materiais solicitados em 28/04/2020 para Isabelle;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;DENIS;;;;;;;;;1;99;;;;;;;;;;;
100;100/2020 - SME;07/05/2020;GILLIARD;;MÉDIA;RESOLVIDO;PROBLEMA NA TOMADA DO RELÓGIO DE PONTO;ELÉTRICA;C. O. CABUÇU;;RUA BENJAMIN HARRIS HUNNICUTT, 4.400;CABUÇU;2458 2454;0001-16-01;NICHOLAS;E-MAIL;;;;;;;;1;100;;;;;;;;;;;
101;101/2020 - SME;07/05/2020;GILLIARD;;MÉDIA;RESOLVIDO;PROBLEMA NO INTERRUPTOR DO VESTIÁRIO MASCULINO;ELÉTRICA;ALMOXARIFADO PIO XII;;AV. PAPA PIO XII, 975;MACEDO;2087-0286;0001-16-08;IZAIAS;WHATSAPP;;;;;;;;1;101;;;;;;;;;;;
102;102/2020 - SME;07/05/2020;GILLIARD;;ALTA;RESOLVIDO;CORDOALHA ROMPIDA PELA MÁQUINA RETROESCAVADEIRA;ELÉTRICA;C. O. CABUÇU;;RUA BENJAMIN HARRIS HUNNICUTT, 4.400;CABUÇU;2458 2454;0001-16-01;WANDERLEY;PRESENCIAL;;;;;;;;1;102;;;;;;;;;;;
103;103/2020 - SME;08/05/2020;GILLIARD;;MÉDIA;VISTORIADO;PROBLEMA DE RUÍDO NA CANCELA AUTOMÁTICA;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;GILBERTO SENA;PRESENCIAL;;;;;;;;1;103;;;;;;;;;;;
104;104/2020 - SME;08/05/2020;GILLIARD;;MÉDIA;AGUARDANDO MATERIAIS;PROBLEMA NO MOTOR PIVOTANTE DA PORTARIA 1 DA SEDE DA PROGUARU;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;GILBERTO SENA;PRESENCIAL;;;;;;;;1;104;;;;;;;;;;;
105;105/2020 - SME;08/05/2020;GILLIARD;;MÉDIA;AGUARDANDO MATERIAIS;PROBLEMA NO PORTEIRO ELETRÔNICO DA PORTARIA 1 DA SEDE DA PROGUARU;ELÉTRICA;SEDE PROGUARU;Ricardo Etelvino ficou responsável de solicitar o serviço completo;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;GILBERTO SENA;PRESENCIAL;;;;;;;;1;105;;;;;;;;;;;
106;106/2020 - SME;08/05/2020;GILLIARD;;MÉDIA;VISTORIADO;READEQUAÇÃO DAS INSTALAÇÕES ELÉTRICAS DA GUARITA;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;GILBERTO SENA;PRESENCIAL;;;;;;;;1;106;;;;;;;;;;;
107;107/2020 - SME;08/05/2020;GILLIARD;;MÉDIA;AGUARDANDO MATERIAIS;READEQUAÇÃO DOS VENTILADORES DO SETOR DE EDIFICAÇÕES;ELÉTRICA;SEDE PROGUARU;material solicitado em 08/05/2020 para isabelle;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;GILBERTO SENA;PRESENCIAL;;;;;;;;1;107;;;;;;;;;;;
108;108/2020 - SME;13/05/2020;GILLIARD;;BAIXA;RESOLVIDO;PROBLEMA NO CHUVEIRO DO VESTIÁRIO FEMININO;ELÉTRICA;C. O. TABOÃO;;RUA PEDRO DE TOLEDO, 500 ;TABOÃO; 2404 4331;0001-16-01;ANTONIA;E-MAIL;;;;;;;;1;108;;;;;;;;;;;
109;109/2020 - SME;27/05/2020;IZAIAS;;BAIXA;RESOLVIDO;TROCA DE LAMPADAS NA SALA 6 e SALA 5 DUVIDAS PROCURAR O XANDÃO;ELÉTRICA;SEÇÃO DE TRANSP. PESADO;;RUA PEDRO DE TOLEDO, 360;TABOÃO;2402-8710;0001-16-01;CHANDÃO;WHATSAPP;;;;;;;;1;109;;;;;;;;;;;
110;110/2020 - SME;27/04/2020;;;ALTA;AGUARDANDO VISTORIA;MANUTENÇÃO DA CAIXA DE ÁGUA PARA AVERIGUAÇÃO DA BOIA, POIS ESTA VAZANDO MUITA ÁGUA;HIDRAULICA;C. O. TABOÃO;;RUA PEDRO DE TOLEDO, 500 ;TABOÃO; 2404 4331;0001-16-01;ANTONIA;E-MAIL;;;;;;;;1;110;;;;;;;;;;;
111;111/2020 - SME;12/05/2020;IZAIAS;;MÉDIA;RESOLVIDO;SOLICITAMOS SUPORTE PARA INSTALAÇÃO DA REFRESQUEIRA NO CENTRO OPERACIONAL BONSUCESSO;ELÉTRICA;C. O. BONSUCESSO;;RUA ANTÔNIO TAVA, 200 ;BONSUCESSO; 2438 2667;0001-16-01;RICARDO ROGER;E-MAIL;;;;;;;;1;111;;;;;;;;;;;
112;112/2020 - SME;18/05/2020;GENIVAL;;MÉDIA;AGUARDANDO MATERIAIS;SOLICITAMOS A TROCA DA TORNEIRA DE JARDIM E DO REGISTRO DE GAVETA BRUTO DO TANQUE DE LIMPEZA DAS MÃOS DOS MECÂNICOS QUE FICA NO PATIO DA UNIDADE PEDRO DE TOLEDO, O MESMO ESTA VAZANDO;HIDRAULICA;SEÇÃO DE TRANSP. PESADO;;RUA PEDRO DE TOLEDO, 360;TABOÃO;2402-8710;0001-16-01;CRISTIANO DE OLIVEIRA;E-MAIL;;;;;;;;1;112;;;;;;;;;;;
113;113/2020 - SME;21/05/2020;IZAIAS;;BAIXA;AGUARDANDO MATERIAIS;SOLICITAMOS ENCARECIDAMENTE PROFISSIONAIS HABILITADOS PARA A INSTALAÇÃO DE TOMADA 220V PARA O NOVO BEBEDOURO DESTINADO A ESTE CENTRO OPERACIONAL E PARA REVISÃO DE TODA A ILUMINAÇÃO DO PÁTIO.;ELÉTRICA;C. O. BONSUCESSO;Falta fazer lista de materiais da iluminação externa (Coordenadora Miriam cobrou dia 14/07/2020), bebedouro resolvido;RUA ANTÔNIO TAVA, 200 ;BONSUCESSO; 2438 2667;0001-16-01;ANTHONY;E-MAIL;;;;;;;;1;113;;;;;;;;;;;
114;114/2020 - SME;26/05/2020;IZAIAS;15/06/2020;MÉDIA;AGUARDANDO MATERIAIS;SOLICITAMOS UMA EQUIPE DE ELÉTRICA PARA INSTALAÇÃO ELÉTRICA EM DUAS NOVAS SALAS NA REGIONAL CABUÇU E INSTALAÇÃO DE UMA CAMPAINHA NA PORTARIA DA REGIONAL;ELÉTRICA;C. O. CABUÇU;materiais solicitados em 16/06/2020;RUA BENJAMIN HARRIS HUNNICUTT, 4.400;CABUÇU;2458 2454;0001-16-01;NICHOLAS;E-MAIL;;;;;;;;1;114;;;;;;;;;;;
115;115/2020 - SME;27/05/2020;GENIVAL;27/05/2020;ALTA;RESOLVIDO;SOLICITAMOS POR GENTILEZA, O CONCERTO DE UM VAZAMENTO DE ÁGUA POTÁVEL EM UM CANO PRÓXIMO A RECEPÇÃO, NO MOMENTO O REGISTRO ESTA FECHADO E ESTÁ CAUSANDO ALGUNS TRANSTORNOS AOS COLABORADORES DA LIMPEZA E PARA USO DOS SANITÁRIOS;HIDRAULICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;DENIS ROBERTO;E-MAIL;28/05/2020;1;28/05/2020;28/05/2020;100%;;;1;115;;;;;;;;;;;
116;116/2020 - SME;28/04/2020;;;ALTA;VISTORIADO;SOLICITAMOS COM URGÊNCIA, O REPARO E POSSÍVEL ELEVAÇÃO DOS MUROS DO PORTÃO 03 SAÍDA DE VEÍCULOS, TIVEMOS UMA  OCORRÊNCIA NA MADRUGADO DO DIA 27/04/2020, ONDE HOUVE UMA INVASÃO DE UM MELIANTE TENTANDO FUGIR DA POLÍCIA;CIVIL;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;DENIS ROBERTO;E-MAIL;;;;;;;;1;116;;;;;;;;;;;
117;117/2020 - SME;04/05/2020;GENIVAL;;MÉDIA;RESOLVIDO;SOLICITAMOS POR GENTILEZA, A MANUTENÇÃO NA PIA E NO MICTÓRIO DO BANHEIRO PRÓXIMO AO R.H.;HIDRAULICA;SEDE PROGUARU;EFETUADO A TROCA DO SIFÃO E VALVULA DO MICTORIO;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;DENIS ROBERTO;E-MAIL;28/05/2020;1;28/05/2020;28/05/2020;100%;;;1;117;;;;;;;;;;;
118;118/2020 - SME;27/05/2020;GENIVAL;;BAIXA;RESOLVIDO;MANUTENÇÃO NA MOLA DA PORTA DO SEREVIÇO MEDICO;OUTROS;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;MARCOS TERITO;PRESENCIAL;28/05/2020;1;28/05/2020;;100%;;;1;118;;;;;;;;;;;
119;119/2020 - SME;02/06/2020;GENIVAL;;MÉDIA;AGUARDANDO MATERIAIS;READEQUAÇÃO DA PARTE ELETRICA TRANSPORTE LEVE;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;VERA;PRESENCIAL;;;;;;;;1;119;;;;;;;;;;;
